kode_billing,tgl_billing,expired_billing,status,kd_kantor,dokumen,no_dok,tgl_dok,total_pungutan,total_dibayar,tgl_bayar,bank
620220200017740,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,UQ288041507SG20220129,2022-02-02,3000,3000,2022-02-08,POS INDONESIA
620220200031507,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,EX235101265SG20220129,2022-02-03,41000,41000,2022-02-07,POS INDONESIA
620220200050618,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,LC1000672301020220131,2022-02-04,3000,3000,2022-02-15,POS INDONESIA
620220200048248,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,LP589933146MY20220203,2022-02-04,2000,2000,2022-02-15,POS INDONESIA
620220200110012,2022-02-10,2022-04-10,Tunggu Rekon CEISA,040600,17,LP223252780SG20220209,2022-02-10,4000,4000,2022-02-19,POS INDONESIA
620220200131152,2022-02-12,2022-04-12,Tunggu Rekon CEISA,040600,17,LP223488763SG20220209,2022-02-12,21000,21000,2022-02-18,POS INDONESIA
620220200258390,2022-02-24,2022-04-24,Kirim Billing,040600,17,LP224090394SG20220223,2022-02-24,12000,0,NA,NA
620220200041854,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UQ290196520SG20220202,2022-02-04,2000,2000,2022-02-10,POS INDONESIA
620220200052418,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UQ285101983SG20211224,2022-02-04,2000,2000,2022-02-19,POS INDONESIA
620220200069695,2022-02-07,2022-04-07,Tunggu Rekon CEISA,040600,17,LV404104863CN20220204,2022-02-07,27000,27000,2022-02-11,POS INDONESIA
620220200051516,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UV462177445UZ20220131,2022-02-04,3000,3000,2022-02-08,POS INDONESIA
620220200028769,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP222284185SG20220201,2022-02-03,22000,22000,2022-02-10,POS INDONESIA
620220200270009,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP590176262MY20220224,2022-02-25,14000,0,NA,NA
620220200032320,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP222615956SG20220202,2022-02-03,51000,51000,2022-02-10,POS INDONESIA
620220200177443,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,LP223865840SG20220215,2022-02-17,4000,4000,2022-02-23,POS INDONESIA
620220200259847,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,CB350645126US20220222,2022-02-24,95000,95000,2022-02-26,POS INDONESIA
620220200095179,2022-02-09,2022-04-09,Tunggu Rekon CEISA,040600,17,EG290469268KR20220207,2022-02-09,576000,576000,2022-02-19,POS INDONESIA
620220200037137,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,EX235095579SG20220202,2022-02-03,80000,80000,2022-02-10,POS INDONESIA
620220200228234,2022-02-22,2022-04-22,Kirim Billing,040600,17,UJ000251879FI20220214,2022-02-22,5000,0,NA,NA
620220200266708,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP223856967SG20220224,2022-02-25,90000,0,NA,NA
620220200216904,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP224627546SG20220219,2022-02-21,51000,51000,2022-02-26,POS INDONESIA
620220200266683,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP590124716MY20220224,2022-02-25,9000,0,NA,NA
620220200187208,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,UQ293658711SG20220215,2022-02-17,3000,3000,2022-02-25,POS INDONESIA
620220200052229,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UQ287556069SG20220202,2022-02-04,2000,2000,2022-02-08,POS INDONESIA
620220200161637,2022-02-15,2022-04-15,Tunggu Rekon CEISA,040600,17,LP589897727MY20220210,2022-02-15,14000,14000,2022-02-17,POS INDONESIA
620220200128416,2022-02-12,2022-04-12,Tunggu Rekon CEISA,040600,17,RL925142106CH20220203,2022-02-12,35000,35000,2022-02-17,POS INDONESIA
620220200269786,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP225180520SG20220224,2022-02-25,94000,0,NA,NA
620220200143347,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,UV467001635UZ20220211,2022-02-14,2000,2000,2022-02-24,POS INDONESIA
620220200041197,2022-02-04,2022-04-04,Kirim Billing,040600,17,LC1000680431920220202,2022-02-04,1000,0,NA,NA
620220200239861,2022-02-23,2022-04-23,Tunggu Rekon CEISA,040600,17,LP224837598SG20220222,2022-02-23,51000,51000,2022-02-25,POS INDONESIA
620220200146847,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,LP223544195SG20220209,2022-02-14,36000,36000,2022-02-17,POS INDONESIA
620220200046341,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,RR109297354VN20220202,2022-02-04,66000,66000,2022-02-14,POS INDONESIA
620220200243346,2022-02-23,2022-04-23,Tunggu Rekon CEISA,040600,17,LP223299433SG20220210,2022-02-23,115000,115000,2022-02-25,POS INDONESIA
620220200019410,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,UQ288316453SG20220129,2022-02-02,2000,2000,2022-02-05,POS INDONESIA
620220200126733,2022-02-12,2022-04-12,Tunggu Rekon CEISA,040600,17,UV466265724UZ20220204,2022-02-12,2000,2000,2022-02-16,POS INDONESIA
620220200174206,2022-02-16,2022-04-16,Tunggu Rekon CEISA,040600,17,EK682306958GB20220211,2022-02-16,389000,389000,2022-02-22,POS INDONESIA
620220200254696,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,LP224901849SG20220223,2022-02-24,32000,32000,2022-02-26,POS INDONESIA
620220200143964,2022-02-14,2022-04-14,Kirim Billing,040600,17,RC719257798SG20220211,2022-02-14,5000,0,NA,NA
620220200109931,2022-02-10,2022-04-10,Tunggu Rekon CEISA,040600,17,LP223241138SG20220209,2022-02-10,75000,75000,2022-02-17,POS INDONESIA
620220200226629,2022-02-22,2022-04-22,Kirim Billing,040600,17,LP224130178SG20220219,2022-02-22,3000,0,NA,NA
620220200059085,2022-02-07,2022-04-07,Tunggu Rekon CEISA,040600,17,UQ290982835SG20220131,2022-02-07,2000,2000,2022-02-12,POS INDONESIA
620220200115208,2022-02-11,2022-04-11,Tunggu Rekon CEISA,040600,17,LP589897364MY20220209,2022-02-11,128000,128000,2022-02-21,POS INDONESIA
620220200123716,2022-02-11,2022-04-11,Tunggu Rekon CEISA,040600,17,LP223244633SG20220210,2022-02-11,12000,12000,2022-02-24,POS INDONESIA
620220200244569,2022-02-23,2022-04-23,Kirim Billing,040600,17,UQ295003138SG20220216,2022-02-23,10000,0,NA,NA
620220200018004,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,LP222591971SG20220129,2022-02-02,37000,37000,2022-02-02,POS INDONESIA
620220200191152,2022-02-18,2022-04-18,Kirim Billing,040600,17,UV504616998UZ20220216,2022-02-18,2000,0,NA,NA
620220200052604,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UQ290215966SG20220203,2022-02-04,2000,2000,2022-02-11,POS INDONESIA
620220200028374,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP222809135SG20220201,2022-02-03,12000,12000,2022-02-09,POS INDONESIA
620220200081980,2022-02-08,2022-04-08,Tunggu Rekon CEISA,040600,17,LP223184435SG20220207,2022-02-08,10000,10000,2022-02-18,POS INDONESIA
620220200186903,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,UQ291942687SG20220214,2022-02-17,2000,2000,2022-02-24,POS INDONESIA
620220200207521,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,EL502414919JP20220218,2022-02-21,247000,247000,2022-02-25,POS INDONESIA
620220200239827,2022-02-23,2022-04-23,Tunggu Rekon CEISA,040600,17,LP590092443MY20220222,2022-02-23,3000,3000,2022-02-26,POS INDONESIA
620220200251633,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,CP319825100MY20220222,2022-02-24,105000,105000,2022-02-26,POS INDONESIA
620220200259782,2022-02-24,2022-04-24,Kirim Billing,040600,17,UQ295894205SG20220223,2022-02-24,41000,0,NA,NA
620220200068442,2022-02-07,2022-04-07,Kirim Billing,040600,17,LP223253652SG20220205,2022-02-07,36000,0,NA,NA
620220200143574,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,UV461555628UZ20220211,2022-02-14,2000,2000,2022-02-19,POS INDONESIA
620220200199732,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,LP590020367MY20220217,2022-02-18,2000,2000,2022-02-25,POS INDONESIA
620220200106051,2022-02-10,2022-04-10,Tunggu Rekon CEISA,040600,17,RX123761087JP20220209,2022-02-10,55000,55000,2022-02-22,POS INDONESIA
620220200200419,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,ES330188444KR20220217,2022-02-18,1134000,1134000,2022-02-25,POS INDONESIA
620220200238619,2022-02-23,2022-04-23,Kirim Billing,040600,17,LP590154465MY20220222,2022-02-23,56000,0,NA,NA
620220200020467,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,RC246709692IT20220131,2022-02-02,182000,182000,2022-02-11,POS INDONESIA
620220200102203,2022-02-09,2022-04-09,Tunggu Rekon CEISA,040600,17,UQ282473835SG20220208,2022-02-09,2000,2000,2022-02-14,POS INDONESIA
620220200032172,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP589759120MY20220201,2022-02-03,19000,19000,2022-02-09,POS INDONESIA
620220200232716,2022-02-22,2022-04-22,Kirim Billing,040600,17,UQ286553327SG20220215,2022-02-22,2000,0,NA,NA
620220200254025,2022-02-24,2022-04-24,Kirim Billing,040600,17,ES328666534KR20220224,2022-02-24,2000,0,NA,NA
620220200265598,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP221831905SG20220124,2022-02-25,88000,0,NA,NA
620220200147237,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,UQ285953218SG20220211,2022-02-14,113000,113000,2022-02-19,POS INDONESIA
620220200016549,2022-02-02,2022-04-02,Kirim Billing,040600,17,UV471227675UZ20220125,2022-02-02,11000,0,NA,NA
620220200216157,2022-02-21,2022-04-21,Kirim Billing,040600,17,LC1000690478020220214,2022-02-21,5000,0,NA,NA
620220200036487,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,EG787477696JP20220131,2022-02-03,24000,24000,2022-02-09,POS INDONESIA
620220200213706,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP589987997MY20220218,2022-02-21,3000,3000,2022-02-25,POS INDONESIA
620220200212416,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,UV471461148UZ20220214,2022-02-21,2000,2000,2022-02-26,POS INDONESIA
620220200101882,2022-02-09,2022-04-09,Tunggu Rekon CEISA,040600,17,LP223301429SG20220208,2022-02-09,128000,128000,2022-02-12,POS INDONESIA
620220200053189,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UV454442890UZ20220131,2022-02-04,14000,14000,2022-02-23,POS INDONESIA
620220200215869,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP224174134SG20220219,2022-02-21,5000,5000,2022-02-25,POS INDONESIA
620220200135920,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,EL502402782JP20220213,2022-02-14,46000,46000,2022-02-18,POS INDONESIA
620220200181916,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,EN157329967JP20220212,2022-02-17,427000,427000,2022-02-19,POS INDONESIA
620220200252928,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,UV510699696UZ20220223,2022-02-24,3000,3000,2022-02-26,POS INDONESIA
620220200141219,2022-02-14,2022-04-14,Kirim Billing,040600,17,LX929749320TW20220211,2022-02-14,27000,0,NA,NA
620220200255655,2022-02-24,2022-04-24,Kirim Billing,040600,17,UV510896965UZ20220223,2022-02-24,2000,0,NA,NA
620220200016052,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,UV471971035UZ20220201,2022-02-02,5000,5000,2022-02-10,POS INDONESIA
620220200102207,2022-02-09,2022-04-09,Tunggu Rekon CEISA,040600,17,LC1000680714520220207,2022-02-09,2000,2000,2022-02-15,POS INDONESIA
620220200189936,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,UV490037152UZ20220215,2022-02-18,3000,3000,2022-02-24,POS INDONESIA
620220200032864,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP589823415MY20220202,2022-02-03,32000,32000,2022-02-10,POS INDONESIA
620220200264688,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP225057324SG20220224,2022-02-25,12000,0,NA,NA
620220200258453,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,LP225023025SG20220223,2022-02-24,51000,51000,2022-02-27,POS INDONESIA
620220200235853,2022-02-23,2022-04-23,Tunggu Rekon CEISA,040600,17,LP224524334SG20220222,2022-02-23,114000,114000,2022-02-25,POS INDONESIA
620220200131578,2022-02-13,2022-04-13,Tunggu Rekon CEISA,040600,17,UV465135728UZ20220204,2022-02-13,2000,2000,2022-02-22,POS INDONESIA
620220200084395,2022-02-08,2022-04-08,Tunggu Rekon CEISA,040600,17,CA004728151KR20220207,2022-02-08,27000,27000,2022-02-12,POS INDONESIA
620220200177145,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,RM662625586DE20220215,2022-02-17,374000,374000,2022-02-21,POS INDONESIA
620220200108950,2022-02-10,2022-04-10,Tunggu Rekon CEISA,040600,17,LP222320143SG20220209,2022-02-10,21000,21000,2022-02-15,POS INDONESIA
620220200118619,2022-02-11,2022-04-11,Tunggu Rekon CEISA,040600,17,EJ800396040JP20220210,2022-02-11,22000,22000,2022-02-17,POS INDONESIA
620220200270283,2022-02-25,2022-04-25,Kirim Billing,040600,17,LP224844863SG20220224,2022-02-25,29000,0,NA,NA
620220200218324,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP589998805MY20220218,2022-02-21,24000,24000,2022-02-25,POS INDONESIA
620220200200191,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,LP223926950SG20220217,2022-02-18,11000,11000,2022-02-23,POS INDONESIA
620220200181793,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,RX121919922JP20220216,2022-02-17,165000,165000,2022-02-17,PT. TOKOPEDIA
620220200058163,2022-02-05,2022-04-05,Tunggu Rekon CEISA,040600,17,LP223225033SG20220203,2022-02-05,74000,74000,2022-02-11,POS INDONESIA
620220200127792,2022-02-12,2022-04-12,Kirim Billing,040600,17,UE864466976NL20220204,2022-02-12,120000,0,NA,NA
620220200239414,2022-02-23,2022-04-23,Tunggu Rekon CEISA,040600,17,UW072996364JP20220222,2022-02-23,12000,12000,2022-02-26,POS INDONESIA
620220200251564,2022-02-24,2022-04-24,Kirim Billing,040600,17,UQ285829140SG20220219,2022-02-24,2000,0,NA,NA
620220200245302,2022-02-23,2022-04-23,Kirim Billing,040600,17,LP224360406SG20220222,2022-02-23,32000,0,NA,NA
620220200253991,2022-02-24,2022-04-24,Tunggu Rekon CEISA,040600,17,LP224623748SG20220223,2022-02-24,19000,19000,2022-02-24,BANK RAKYAT INDONESIA
620220200147316,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,LP589836419MY20220209,2022-02-14,17000,17000,2022-02-16,POS INDONESIA
620220200039178,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP222322515SG20220131,2022-02-03,19000,19000,2022-02-11,POS INDONESIA
620220200258759,2022-02-24,2022-04-24,Kirim Billing,040600,17,UV505906489UZ20220223,2022-02-24,3000,0,NA,NA
620220200228629,2022-02-22,2022-04-22,Kirim Billing,040600,17,LC1000685406920220214,2022-02-22,5000,0,NA,NA
620220200078356,2022-02-08,2022-04-08,Tunggu Rekon CEISA,040600,17,RC830642328SG20220207,2022-02-08,2000,2000,2022-02-12,POS INDONESIA
620220200064607,2022-02-07,2022-04-07,Tunggu Rekon CEISA,040600,17,LP589821697MY20220202,2022-02-07,23000,23000,2022-02-10,POS INDONESIA
620220200125267,2022-02-11,2022-04-11,Tunggu Rekon CEISA,040600,17,LP223374718SG20220210,2022-02-11,2000,2000,2022-02-16,POS INDONESIA
620220200189494,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,UV505721502UZ20220216,2022-02-18,2000,2000,2022-02-27,POS INDONESIA
620220200013543,2022-02-02,2022-04-02,Tunggu Rekon CEISA,040600,17,LP222243058SG20220128,2022-02-02,4000,4000,2022-02-14,POS INDONESIA
620220200158518,2022-02-15,2022-04-15,Tunggu Rekon CEISA,040600,17,LC1000692096520220214,2022-02-15,2000,2000,2022-02-21,POS INDONESIA
620220200051477,2022-02-04,2022-04-04,Tunggu Rekon CEISA,040600,17,UQ285840896SG20220131,2022-02-04,2000,2000,2022-02-09,POS INDONESIA
620220200069362,2022-02-07,2022-04-07,Tunggu Rekon CEISA,040600,17,LC1000673021720220204,2022-02-07,30000,30000,2022-02-14,POS INDONESIA
620220200187310,2022-02-17,2022-04-17,Kirim Billing,040600,17,UV487911919UZ20220215,2022-02-17,10000,0,NA,NA
620220200180771,2022-02-17,2022-04-17,Kirim Billing,040600,17,LP222098850SG20220215,2022-02-17,14000,0,NA,NA
620220200030520,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP222627486SG20220131,2022-02-03,145000,145000,2022-02-07,POS INDONESIA
620220200230239,2022-02-22,2022-04-22,Tunggu Rekon CEISA,040600,17,UQ296236099SG20220219,2022-02-22,2000,2000,2022-02-28,POS INDONESIA
620220200228628,2022-02-22,2022-04-22,Tunggu Rekon CEISA,040600,17,UV464425975UZ20220214,2022-02-22,5000,5000,2022-02-26,POS INDONESIA
620220200197711,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,UQ294580341SG20220217,2022-02-18,2000,2000,2022-02-25,POS INDONESIA
620220200024380,2022-02-03,2022-04-03,Tunggu Rekon CEISA,040600,17,LP221913817SG20220131,2022-02-03,17000,17000,2022-02-17,POS INDONESIA
